nom,adresse,complement_adresse,code_postal,libelle_geographique,adresse_postale,lien,telephone,email,identifiant_deps_à_partir_de_2022,code_du_reseau_de_bibliothèques,coordonnees_gps_lat_lon,departement,type_equipement_ou_lieu,region,nom_du_reseau_de_bibliotheques,nom_de_l_Illustre,surface_bibliotheque,rang,ident,libelle_EPCI,code_insee_epci,demographie_entree,demographie_sortie,demographie_détail,type
Médiathèque municipale,88 Cours de Verdun,,01100,Oyonnax,88 Cours de Verdun 01100 Oyonnax France,http://mediatheque.oyonnax.fr/portail/,04 74 81 96 81,,,-,"46.260919, 5.648326",ain,bibliothèque,auvergne-Rhône-Alpes,,,,,,,,,,,
Médiathèque de Digne-Les-Bains \,7 rue Colonel Payan,,04000,Digne-les-Bains,7 rue Colonel Payan 04000 Digne-les-Bains France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.091687, 6.234144",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Médiathèque départementale des Alpes de Haute-Provence,8 Avenue Bad Mergentheim,,04000,Digne-les-Bains,8 Avenue Bad Mergentheim 04000 Digne-les-Bains France,https://lamediatheque04.fr/,04 92 30 07 64,,,,"44.090624, 6.240121",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de La Robine,,,04000,La Robine-sur-Galabre,04000 La Robine-sur-Galabre France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.17371, 6.219116",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Médiathèque d'Herbès - Manosque,rue Du Mont D'or,,04100,Manosque,rue Du Mont D'or 04100 Manosque France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.834176, 5.78325",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque-Médiathèque municipale,rue Du Docteur Martel,,04110,Reillanne,rue Du Docteur Martel 04110 Reillanne France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.879245, 5.659247",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Vachères,Le Village,,04110,Vachères,Le Village 04110 Vachères France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.931853, 5.637277",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Médiathèque intercommunale du Castellas,,,04110,Montfuron,04110 Montfuron France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.835376, 5.6939",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Peyroules,28 rue de la Mairie,,04120,Peyroules,28 rue de la Mairie 04120 Peyroules France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.815471, 6.641422",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Médiathèque de Castellane,10 Boulevard Saint-Michel,,04120,Castellane,10 Boulevard Saint-Michel 04120 Castellane France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.848261, 6.510705",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de La Palud Sur Verdon,2ème Étage Foyer Rural,,04120,La Palud-sur-Verdon,2ème Étage Foyer Rural 04120 La Palud-sur-Verdon France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.805242, 6.338722",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Médiathèque intercommunale de Volx,place Martin Bret,,04130,Volx,place Martin Bret 04130 Volx France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.896402, 5.834875",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
