nom,adresse,complement_adresse,code_postal,libelle_geographique,adresse_postale,lien,telephone,email,identifiant_deps_à_partir_de_2022,code_du_reseau_de_bibliothèques,coordonnees_gps_lat_lon,departement,source,identifiant_origine,type_equipement_ou_lieu,precision_equipement,region,domaine,nom_du_reseau_de_bibliotheques,services,nom_cmpp,code_cmpp
Médiathèque municipale,88 Cours de Verdun,,01100,Oyonnax,88 Cours de Verdun 01100 Oyonnax France,http://mediatheque.oyonnax.fr/portail/,04 74 81 96 81,,,aucun,"46.260919, 5.648326",Ain,Ministère de la Culture - Service du livre et de la lecture,LI28,bibliothèque,Groupe 1,Auvergne-Rhône-Alpes,Lecture publique,aucun,A,aucun,aucun
Médiathèque de Digne-Les-Bains \,7 rue Colonel Payan,,04000,Digne-les-Bains,7 rue Colonel Payan 04000 Digne-les-Bains France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"44.091687, 6.234144",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI135,Bibliothèque,Groupe 1,Provence-Alpes-Côte d'Azur,Lecture publique,aucun,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Médiathèque départementale des Alpes de Haute-Provence,8 Avenue Bad Mergentheim,,04000,Digne-les-Bains,8 Avenue Bad Mergentheim 04000 Digne-les-Bains France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"44.090624, 6.240121",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,BD136,Bibliothèque,Réseau départemental,Provence-Alpes-Côte d'Azur,Lecture publique,aucun,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Bibliothèque de La Robine,,,04000,La Robine-sur-Galabre,04000 La Robine-sur-Galabre France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"44.17371, 6.219116",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI17923,Bibliothèque,Groupe 3,Provence-Alpes-Côte d'Azur,Lecture publique,aucun,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Saint-Gilles ,349 Rue Saint-Gilles ,,04000,Liège,349 Rue Saint-Gilles 4000 Liège,https://mabibli.be/,,,,aucun,"50.633442, 5.551717",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Séminaire,40 Rue des Prémontrés ,,04000,Liège,40 Rue des Prémontrés 4000 Liège,https://mabibli.be/,,,,aucun,"50.637581, 5.57447",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Chiroux,15 Rue des croisiers ,,04000,Liège,15 Rue des croisiers 4000 Liège,https://mabibli.be/,,,,aucun,"50.639049, 5.575372",,,,bibliothèque,,Belgique,,aucun,AP,Bibliothèques publiques en Province de Liège ,CMPPB101
Centre Multimédia Don Bosco,"Rue des Wallons, 59 ",,04000,Liège,59 Rue des Wallons 4000 Liège,https://mabibli.be/,,,,aucun,"50.6308129, 5.5381029",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Saint-Barthélemy,Place Saint-Barthélemy 9 ,,04000,Liège,9 Place Saint-Barthélemy 4000 Liège,https://mabibli.be/,,,,aucun,"50.647512, 5.58301",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Sainte-Julienne,"Rue des Genêts, 2 ",,04000,Liège,2 Rue des Genêts 4000 Liège,https://mabibli.be/,,,,aucun,"50.6539029, 5.55432",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Sainte-Walburge,"Rue Sainte-Walburge, 209 ",,04000,Liège,209 Rue Sainte-Walburge 4000 Liège,https://mabibli.be/,,,,aucun,"50.659114, 5.567164",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Sclessin,Rue des Pampres,,04000,Liège,Rue des Pampres 4000Liège,https://mabibli.be/,,,,aucun,"50.610653, 5.55331",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Bibliothèque de Xhovémont-Naniot,Bd Léon Philippet 9,,04000,Liège,9 Bd Léon Philippet  4000 Liège,https://mabibli.be/,,,,aucun,"50.652765, 5.561716",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Bibliothèque du Nord (St-Léonard),Pl. Vivegnis 46,,04000,Liège,46 Pl. Vivegnis 4000 Liège,https://mabibli.be/,,,,aucun,"50.652727, 5.589718",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Bibliothèque du Thier-à-Liège,Bd Hector Denis 342,,04000,Liège,342 Bd Hector Denis 4000 Liège,https://mabibli.be/,,,,aucun,"50.662359, 5.593728",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Fétinne,41 Rue de Fétinne ,,04020,Liège,41 Rue de Fétinne 4020 Liège,https://mabibli.be/,,,,aucun,"50.626554, 5.582065",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Saint-Louis-en-Longdoz,20 Rue Alfred Magis ,,04020,Liège,20 Rue Alfred Magis 4020 Liège,https://mabibli.be/,,,,aucun,"50.636154, 5.582035",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Outremeuse,Rue de l'Ourthe 1 ,,04020,Liège,1 Rue de l'Ourthe 4020 Liège,https://mabibli.be/,,,,aucun,"50.638717, 5.58261",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Bibliothèque publique Saint-Remacle,"Rue d'Amercoeur, 24 ",,04020,Liège,24  Rue d'Amercoeur 4020 Liège,https://mabibli.be/,,,,aucun,"50.636905, 5.589911",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Jupille,"Rue Chafnay, 2",,04020,Liège,"2 Rue Chafnay, 4020 Liège",https://mabibli.be/,,,,aucun,"50.644763, 5.635559",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Bibliothèque de Droixhe-Bressoux,Pl. de la Libération 2,,04020,Liège,2 Pl. de la Libération 4020 Liège,https://mabibli.be/,,,,aucun,"50.647038, 5.606091",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Bibliothèque de Wandre,Rue de Visé 832,,04020,Liège,832 Rue de Visé 4020 Liège,https://mabibli.be/,,,,aucun,"50.670887, 5.661899",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Bibliothèque publique de Robermont,"Rue des Fortifications, 10 ",,04030,Liège,10 Rue des Fortifications 4030 Liège,https://mabibli.be/,,,,aucun,"50.631717, 5.603378",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Saint-Lambert,45 Rue du Beau Mur,,04030,GRIVEGNEE,45 Rue du Beau Mur 4030 GRIVEGNEE,https://mabibli.be/,,,,aucun,"50.629592, 5.588553",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Grivegnée,Grivegnée,,04030,Liège,Grivegnée 4030Liège,https://mabibli.be/,,,,aucun,"50.621599, 5.599755",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Angleur,Angleur,,04031,Liège,Angleur 4031 Liège,https://mabibli.be/,,,,aucun,"50.611016, 5.599845",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Bibliothèque d'Angleur,"Place Andréa Jadoulle, 14",,04031,Liège,"14 Place Andréa Jadoulle, 4031 Liège",https://mabibli.be/,,,,aucun,"45.66958, 4.753633",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Bibliothèque de Chênée,Rue de l'Église 60,,04032,Liège,60 Rue de l'Église 4032 Liège,https://mabibli.be/,,,,aucun,"50.6114997864, 5.6170554161",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Les Monts,Avenue Louis De Brouckère 18,,04040,HERSTAL,18 Avenue Louis De Brouckère 4040 HERSTAL,https://mabibli.be/,,,,aucun,"50.6670169, 5.6326577",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Wauters,"Avenue Cité Wauters, 35",,04040,HERSTAL,"35 Avenue Cité Wauters, 4040 HERSTAL",https://mabibli.be/,,,,aucun,"50.6670169, 5.6326577",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
René Henoumont,"Rue Large Voie, 110",,04040,HERSTAL,"110 Rue Large Voie, 4040HERSTAL",https://mabibli.be/,,,,aucun,"50.667059, 5.634773",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Milmort,"Rue de la Résistance, 13",,04041,MILMORT,"13 Rue de la Résistance, 4041 MILMORT",https://mabibli.be/,,,,aucun,"50.6891403198, 5.5922999382",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
